mouse,cluster,samplename,day,day_num,tissue,VSG,Percent,RPKM,hit_VSG,pct_id_vs_query,pct_id_vs_match,match_VSG_length,assembled_VSG_length,strain,experiment,tissue_final,mouse_final,space,strain_space,day_num_char
M35,Cluster 56,M35_D14_Heart_R1.fastq,D14,14,heart,TRINITY_DN182_c0_g1_i1_1_307_999_M35_D14_Heart_R1,0.0162301,112.4594,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,99.85549,45.43064,1521,692,WT,1,heart,11,tissues,WT tissues,14
M35,Cluster 56,M35_D14_GonFat_R1.fastq,D14,14,gon,NA,0.001,NA,NA,NA,NA,NA,NA,WT,NA,gon. fat,NA,tissues,WT tissues,14
M35,Cluster 56,M35_D14_Ear_R1.fastq,D14,14,ear,NA,0.001,NA,NA,NA,NA,NA,NA,WT,NA,skin,NA,tissues,WT tissues,14
M35,Cluster 56,M35_D6_blood_R1.fastq,D6,6,blood,TRINITY_DN0_c0_g1_i1_1_80_1592_M35_D6_blood_R1,99.96479000000001,669572.3,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.30159,86.78501,1521,1512,WT,1,blood,11,blood,WT blood,6
M35,Cluster 56,M35_D14_SubCu_R1.fastq,D14,14,sub,NA,0.001,NA,NA,NA,NA,NA,NA,WT,NA,s.c. fat,NA,tissues,WT tissues,14
M35,Cluster 56,M35_D14_Lung_R1.fastq,D14,14,lung,TRINITY_DN4_c1_g1_i1_1_80_1339_M35_D14_Lung_R1,0.2313363,9708.938,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,99.68229,82.51151,1521,1259,WT,1,lung,11,tissues,WT tissues,14
M35,Cluster 56,M35_D14_blood_R1.fastq,D14,14,blood,NA,0.001,NA,NA,NA,NA,NA,NA,WT,NA,blood,NA,blood,WT blood,14
M36,Cluster 56,M36_D6_blood,D6,6,blood,TRINITY_DN0_c0_g1_i1_1_80_1592_M36_D6_blood,99.97837924170001,669669.882889,gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117,87.3015873016,86.7850098619,1521,1512,WT,1,blood,6,blood,WT blood,6
M4,Cluster 1830,M4_D6_blood,D6,6,blood,TRINITY_DN0_c0_g2_i1_1_124_1516_RC_M4_D6_blood,84.3695812869,610665.079284,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,99.7844827586,99.7844827586,1392,1392,WT,1,blood,7,blood,WT blood,6
m4,Cluster 866,m4_d14_ear_S8_L001_R1_001.fastq,D14,14,ear,TRINITY_DN1_c0_g1_i2_1_195_1587_m4_d14_ear_S8_L001_R1_001,17.0354998498,121562.0706,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,99.7844827586,99.7844827586,1392,1392,AID,2,skin,m4_AID,tissues,AID tissues,14
m4,Cluster 866,m4_d14_blood_S52_L001_R1_001.fastq,D14,14,blood,TRINITY_DN158_c0_g1_i1_1_158_1534_m4_d14_blood_S52_L001_R1_001,1.6250891957,11250.663203,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,99.7819767442,98.6350574713,1392,1376,AID,2,blood,m4_AID,blood,AID blood,14
m4,Cluster 866,m4_d14_sc_fat_S15_L001_R1_001.fastq,D14,14,sc,TRINITY_DN5_c0_g1_i2_1_177_1569_m4_d14_sc_fat_S15_L001_R1_001,2.57718380749,20178.500182100004,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,99.7844827586,99.7844827586,1392,1392,AID,2,sc,m4_AID,tissues,AID tissues,14
m4,Cluster 866,m4_d14_heart_S38_L001_R1_001.fastq,D14,14,heart,TRINITY_DN6_c0_g1_i1_1_177_1569_m4_d14_heart_S38_L001_R1_001,1.52007822391,10580.8097045,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,99.9281609195,99.9281609195,1392,1392,AID,2,heart,m4_AID,tissues,AID tissues,14
m4,Cluster 866,m4_d14_brain_S39_L001_R1_001.fastq,D14,14,brain,TRINITY_DN0_c0_g1_i1_1_1721_3113_m4_d14_brain_S39_L001_R1_001,84.4035066369,624207.0642550001,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,99.7844827586,99.7844827586,1392,1392,AID,2,brain,m4_AID,tissues,AID tissues,14
m4,Cluster 866,m4_d14_gon_fat_S22_L001_R1_001.fastq,D14,14,gon,TRINITY_DN5_c4_g1_i1_1_0_1386_RC_m4_d14_gon_fat_S22_L001_R1_001,3.4071959276499997,24583.938400600004,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,99.7835497835,99.3534482759,1392,1386,AID,2,gon. fat,m4_AID,tissues,AID tissues,14
m4,Cluster 866,m4_d6_blood_S46_L001_R1_001.fastq,D6,6,blood,TRINITY_DN0_c0_g1_i1_1_88_1480_RC_m4_d6_blood_S46_L001_R1_001,94.8470889006,687706.956188,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,99.7844827586,99.7844827586,1392,1392,AID,2,blood,m4_AID,blood,AID blood,6
m4,Cluster 866,m4_d14_lungs_S30_L001_R1_001.fastq,D14,14,lung,TRINITY_DN0_c0_g1_i1_1_88_1480_RC_m4_d14_lungs_S30_L001_R1_001,28.74911247509999,227549.842501,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,100,100,1392,1392,AID,2,lung,m4_AID,tissues,AID tissues,14
M6,Cluster 1830,M6_D6_blood,D6,6,blood,TRINITY_DN0_c0_g2_i1_1_104_1496_RC_M6_D6_blood,86.9567777732,626205.389227,gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904,99.7844827586,99.7844827586,1392,1392,WT,1,blood,8,blood,WT blood,6
