mouse,cluster,mouse_final,samplename,day,day_num,tissue,VSG,Percent,RPKM,hit_VSG,pct_id_vs_query,pct_id_vs_match,match_VSG_length,assembled_VSG_length,strain,mode,tissue_final,day_num_char,space
M30,Cluster 294,5,M30_D10_Gon_Fat,D10,10,gon,TRINITY_DN286_c0_g1_i1_1_742_2086_M30_D10_Gon_Fat,8.997059649359999,63066.0451756,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8839285714,87.0333988212,1527,1344,WT,IV,gon. fat,10,tissues
M30,Cluster 294,5,M30_D10_Brain,D10,10,brain,TRINITY_DN3_c0_g1_i1_1_1388_2930_M30_D10_Brain,33.7831931211,270337.688169,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.0272373541,100,1527,1542,WT,IV,brain,10,tissues
M30,Cluster 294,5,M30_D10_Lung,D10,10,lung,TRINITY_DN0_c1_g1_i1_1_0_1289_RC_M30_D10_Lung,8.06050000015,60482.726191,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8363072149,83.4315651604,1527,1289,WT,IV,lung,10,tissues
M30,Cluster 294,5,M30_D10_blood,D10,10,blood,TRINITY_DN0_c4_g1_i1_1_934_2476_M30_D10_blood,75.9407288351,517626.851091,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.0272373541,100,1527,1542,WT,IV,blood,10,blood
M30,Cluster 294,5,M30_D10_Heart,D10,10,heart,TRINITY_DN5_c0_g5_i6_2_107_1649_RC_M30_D10_Heart,15.6251000497,119743.513627,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.0272373541,100,1527,1542,WT,IV,heart,10,tissues
M30,Cluster 294,5,M30_D10_Ear,D10,10,ear,TRINITY_DN3_c0_g2_i1_1_65_1607_M30_D10_Ear,2.4328238016499997,17757.2675053,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.0272373541,100,1527,1542,WT,IV,skin,10,tissues
M30,Cluster 504,5,M30_D10_Sub_Cu,D10,10,sub,TRINITY_DN27_c0_g1_i8_1_1_1491_RC_M30_D10_Sub_Cu,0.0782223478833,549.962746542,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.4630872483,98.997995992,1497,1490,WT,IV,s.c. fat,10,tissues
M30,Cluster 504,5,M30_D10_Heart,D10,10,heart,TRINITY_DN29_c0_g1_i5_1_136_1629_M30_D10_Heart,0.280077707158,2138.8588862,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,100,99.7327989312,1497,1493,WT,IV,heart,10,tissues
M30,Cluster 504,5,M30_D10_blood,D10,10,blood,TRINITY_DN11_c0_g1_i1_1_153_1650_M30_D10_blood,0.0606904379487,406.867049824,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,100,100,1497,1497,WT,IV,blood,10,blood
M30,Cluster 504,5,M30_D10_Gon_Fat,D10,10,gon,TRINITY_DN104_c0_g1_i1_1_152_1641_M30_D10_Gon_Fat,0.0883079911084,612.064606733,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.6642041639,99.1315965264,1497,1489,WT,IV,gon. fat,10,tissues
M30,Cluster 504,5,M30_D10_Lung,D10,10,lung,TRINITY_DN212_c0_g1_i6_1_153_1650_M30_D10_Lung,0.140220476561,1044.78366696,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.4655978624,99.4655978624,1497,1497,WT,IV,lung,10,tissues
M30,Cluster 504,5,M30_D10_Ear,D10,10,ear,TRINITY_DN0_c14_g1_i1_1_1827_3324_M30_D10_Ear,11.310714719,82583.9559331,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,100,100,1497,1497,WT,IV,skin,10,tissues
M30,Cluster 504,5,M30_D10_Brain,D10,10,brain,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,brain,10,tissues
M32,Cluster 294,3,M32_D6_Gon_Fat,D6,6,gon,TRINITY_DN101_c0_g1_i1_1_2_1336_RC_M32_D6_Gon_Fat,0.921805661613,5531.20266472,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8755622189,86.3785199738,1527,1334,WT,IV,gon. fat,6,tissues
M32,Cluster 294,3,M32_D6_Ear,D6,6,ear,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,skin,6,tissues
M32,Cluster 294,3,M32_D6_Heart,D6,6,heart,TRINITY_DN123_c0_g1_i1_1_360_905_M32_D6_Heart,0.001,36.7786320332,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,100,35.690897184,1527,545,WT,IV,heart,6,tissues
M32,Cluster 294,3,M32_D6_blood,D6,6,blood,TRINITY_DN132_c0_g1_i1_1_48_1353_M32_D6_blood,0.001,53.3737041397,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8505747126,84.4793713163,1527,1305,WT,IV,blood,6,blood
M32,Cluster 294,3,M32_D6_Sub_Cu,D6,6,sub,TRINITY_DN105_c0_g1_i1_1_1_1307_RC_M32_D6_Sub_Cu,0.001,49.3373881642,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8514548239,84.544859201,1527,1306,WT,IV,s.c. fat,6,tissues
M32,Cluster 294,3,M32_D6_Lung,D6,6,lung,TRINITY_DN54_c0_g1_i1_1_1425_2750_M32_D6_Lung,0.304822010338,2042.51591434,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8679245283,85.7891290111,1527,1325,WT,IV,lung,6,tissues
M32,Cluster 294,3,M32_D6_Brain,D6,6,brain,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,brain,6,tissues
M33,Cluster 1831,4,M33_D6_Ear,D6,6,ear,TRINITY_DN5_c0_g1_i4_1_93_1485_M33_D6_Ear,0.155213509759,983.253690844,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,skin,6,tissues
M33,Cluster 1831,4,M33_D6_Heart,D6,6,heart,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,heart,6,tissues
M33,Cluster 1831,4,M33_D6_Gon_Fat,D6,6,gon,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,gon. fat,6,tissues
M33,Cluster 1831,4,M33_D6_Sub_Cu,D6,6,sub,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,s.c. fat,6,tissues
M33,Cluster 1831,4,M33_D6_Brain,D6,6,brain,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,brain,6,tissues
M33,Cluster 1831,4,M33_D6_Lung,D6,6,lung,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,lung,6,tissues
M33,Cluster 1831,4,M33_D6_blood,D6,6,blood,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,blood,6,blood
M33,Cluster 294,4,M33_D6_Heart,D6,6,heart,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,heart,6,tissues
M33,Cluster 294,4,M33_D6_Sub_Cu,D6,6,sub,TRINITY_DN1_c0_g1_i1_1_1442_2784_M33_D6_Sub_Cu,9.81401515769,66743.5158945,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8822652757,86.9024230517,1527,1342,WT,IV,s.c. fat,6,tissues
M33,Cluster 294,4,M33_D6_Ear,D6,6,ear,TRINITY_DN60_c0_g1_i1_1_1_1327_RC_M33_D6_Ear,0.0682547751767,428.811366933,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8687782805,85.8546168959,1527,1326,WT,IV,skin,6,tissues
M33,Cluster 294,4,M33_D6_blood,D6,6,blood,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,blood,6,blood
M33,Cluster 294,4,M33_D6_Brain,D6,6,brain,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,brain,6,tissues
M33,Cluster 294,4,M33_D6_Lung,D6,6,lung,TRINITY_DN53_c0_g1_i1_1_2_1337_RC_M33_D6_Lung,0.825210144418,5528.45935917,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8764044944,86.4440078585,1527,1335,WT,IV,lung,6,tissues
M33,Cluster 294,4,M33_D6_Gon_Fat,D6,6,gon,TRINITY_DN62_c0_g1_i1_1_2_1336_RC_M33_D6_Gon_Fat,5.29256098235,33979.6404554,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8755622189,86.3785199738,1527,1334,WT,IV,gon. fat,6,tissues
M34,Cluster 1831,10,M34_D14_Ear_R1.fastq,D14,14,ear,TRINITY_DN1133_c0_g1_i2_1_97_1489_M34_D14_Ear_R1,0.757065221502,5493.29974062,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,skin,14,tissues
M34,Cluster 1831,10,M34_D14_GonFat_R1.fastq,D14,14,gon,TRINITY_DN23_c0_g1_i1_1_1588_2980_M34_D14_GonFat_R1,0.134212293294,939.645168298,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,79.525862069,72.9249011858,1518,1392,WT,IV,gon. fat,14,tissues
M34,Cluster 1831,10,M34_D14_Brain_R1.fastq,D14,14,brain,TRINITY_DN0_c0_g1_i1_1_1647_3039_M34_D14_Brain_R1,66.2455276557,483829.150117,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,brain,14,tissues
M34,Cluster 1831,10,M34_D14_SubCu_R1.fastq,D14,14,sub,TRINITY_DN1_c0_g1_i4_1_117_1509_RC_M34_D14_SubCu_R1,25.834616490000002,198314.148213,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,s.c. fat,14,tissues
M34,Cluster 1831,10,M34_D14_Lung_R1.fastq,D14,14,lung,TRINITY_DN0_c0_g1_i1_1_117_1509_RC_M34_D14_Lung_R1,11.591195427699999,88374.3277444,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,lung,14,tissues
M34,Cluster 1831,10,M34_D14_Heart_R1.fastq,D14,14,heart,TRINITY_DN0_c0_g4_i2_1_1692_3084_M34_D14_Heart_R1,28.0390428757,204393.783327,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,heart,14,tissues
M34,Cluster 1831,10,M34_D14_blood_R1.fastq,D14,14,blood,TRINITY_DN22_c0_g2_i8_1_68_1460_M34_D14_blood_R1,0.02171085,151.3424,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,80.45977,73.78129,1518,1392,WT,IV,blood,14,blood
M34,Cluster 294,10,M34_D14_blood_R1.fastq,D14,14,blood,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,blood,14,blood
M34,Cluster 294,10,M34_D14_Brain_R1.fastq,D14,14,brain,TRINITY_DN10_c1_g3_i1_1_2_1485_RC_M34_D14_Brain_R1,0.131905474489,956.09232504,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.9885367498,96.1362148003,1527,1483,WT,IV,brain,14,tissues
M34,Cluster 294,10,M34_D14_GonFat_R1.fastq,D14,14,gon,TRINITY_DN402_c0_g1_i1_1_1_1323_RC_M34_D14_GonFat_R1,0.0652300643365,453.0623122,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8653555219,85.5926653569,1527,1322,WT,IV,gon. fat,14,tissues
M34,Cluster 294,10,M34_D14_Ear_R1.fastq,D14,14,ear,TRINITY_DN560_c0_g1_i1_1_1_596_RC_M34_D14_Ear_R1,0.001,19.3162598911,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,100,38.9652914211,1527,595,WT,IV,skin,14,tissues
M34,Cluster 294,10,M34_D14_SubCu_R1.fastq,D14,14,sub,TRINITY_DN202_c0_g1_i1_1_46_1369_M34_D14_SubCu_R1,0.0235935783615,173.441695612,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8662131519,85.6581532417,1527,1323,WT,IV,s.c. fat,14,tissues
M34,Cluster 294,10,M34_D14_Heart_R1.fastq,D14,14,heart,TRINITY_DN76_c0_g1_i1_1_0_1325_RC_M34_D14_Heart_R1,0.0211230067274,146.694171742,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8679245283,85.7891290111,1527,1325,WT,IV,heart,14,tissues
M34,Cluster 294,10,M34_D14_Lung_R1.fastq,D14,14,lung,TRINITY_DN163_c0_g1_i1_1_0_1324_RC_M34_D14_Lung_R1,0.0268573213158,197.160039518,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.8670694864,85.7236411264,1527,1324,WT,IV,lung,14,tissues
M34,Cluster 504,10,M34_D14_Ear_R1.fastq,D14,14,ear,TRINITY_DN1_c3_g1_i1_1_147_1644_M34_D14_Ear_R1,10.2291530312,74314.1051797,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.9331997328,99.9331997328,1497,1497,WT,IV,skin,14,tissues
M34,Cluster 504,10,M34_D14_Brain_R1.fastq,D14,14,brain,TRINITY_DN1_c0_g2_i1_1_165_1662_M34_D14_Brain_R1,3.71022858053,27091.0364255,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,100,100,1497,1497,WT,IV,brain,14,tissues
M34,Cluster 504,10,M34_D14_Heart_R1.fastq,D14,14,heart,TRINITY_DN1_c0_g2_i1_2_89_1589_RC_M34_D14_Heart_R1,1.5861459896199999,11555.5136063,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.2,99.3987975952,1497,1500,WT,IV,heart,14,tissues
M34,Cluster 504,10,M34_D14_GonFat_R1.fastq,D14,14,gon,TRINITY_DN6_c0_g1_i4_1_1842_3339_M34_D14_GonFat_R1,5.97995913178,42174.0360495,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,100,100,1497,1497,WT,IV,gon. fat,14,tissues
M34,Cluster 504,10,M34_D14_Lung_R1.fastq,D14,14,lung,TRINITY_DN4_c0_g2_i3_1_165_1665_M34_D14_Lung_R1,2.44660104961,18647.5154831,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.2,99.3987975952,1497,1500,WT,IV,lung,14,tissues
M34,Cluster 504,10,M34_D14_SubCu_R1.fastq,D14,14,sub,TRINITY_DN1_c1_g1_i1_1_1799_3296_M34_D14_SubCu_R1,19.968870000000003,153285.2,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.9332,99.9332,1497,1497,WT,IV,s.c. fat,14,tissues
M34,Cluster 504,10,M34_D14_blood_R1.fastq,D14,14,blood,TRINITY_DN0_c0_g1_i1_1_164_1661_M34_D14_blood_R1,25.50414,186361.5,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,100,100,1497,1497,WT,IV,blood,14,blood
M35,Cluster 1831,11,M35_D14_Heart_R1.fastq,D14,14,heart,TRINITY_DN8_c0_g2_i1_2_94_1486_RC_M35_D14_Heart_R1,17.87689,131996,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.87931,72.33202,1518,1392,WT,IV,heart,14,tissues
M35,Cluster 1831,11,M35_D14_GonFat_R1.fastq,D14,14,gon,TRINITY_DN2_c0_g1_i4_1_1647_3039_M35_D14_GonFat_R1,5.424051,36119.64,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.87931,72.33202,1518,1392,WT,IV,gon. fat,14,tissues
M35,Cluster 1831,11,M35_D14_Lung_R1.fastq,D14,14,lung,TRINITY_DN1_c0_g1_i2_1_1619_3011_M35_D14_Lung_R1,1.703258,71752.1,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.87931,72.33202,1518,1392,WT,IV,lung,14,tissues
M35,Cluster 1831,11,M35_D14_SubCu_R1.fastq,D14,14,sub,TRINITY_DN2_c0_g1_i1_1_107_1499_M35_D14_SubCu_R1,2.0716159999999997,14565.13,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.87931,72.33202,1518,1392,WT,IV,s.c. fat,14,tissues
M35,Cluster 1831,11,M35_D14_blood_R1.fastq,D14,14,blood,TRINITY_DN1_c0_g2_i1_1_1647_3039_M35_D14_blood_R1,20.688390000000002,150129.1,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.87931,72.33202,1518,1392,WT,IV,blood,14,blood
M35,Cluster 1831,11,M35_D14_Ear_R1.fastq,D14,14,ear,TRINITY_DN1481_c0_g2_i1_1_110_1502_RC_M35_D14_Ear_R1,10.384079999999999,71342.19,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.87931,72.33202,1518,1392,WT,IV,skin,14,tissues
M35,Cluster 294,11,M35_D14_blood_R1.fastq,D14,14,blood,TRINITY_DN76_c0_g1_i1_1_48_1584_M35_D14_blood_R1,0.08828718,633.4462,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.02344,99.60707,1527,1536,WT,IV,blood,14,blood
M35,Cluster 294,11,M35_D14_Heart_R1.fastq,D14,14,heart,TRINITY_DN7_c0_g2_i1_1_79_1621_RC_M35_D14_Heart_R1,3.697113,27292.18,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.02724,100,1527,1542,WT,IV,heart,14,tissues
M35,Cluster 294,11,M35_D14_GonFat_R1.fastq,D14,14,gon,TRINITY_DN0_c8_g1_i1_1_1801_3343_M35_D14_GonFat_R1,84.3514,561806.7,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.02724,100,1527,1542,WT,IV,gon. fat,14,tissues
M35,Cluster 294,11,M35_D14_Lung_R1.fastq,D14,14,lung,TRINITY_DN4_c0_g1_i1_1_79_1621_RC_M35_D14_Lung_R1,1.583113,66687.88,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.02724,100,1527,1542,WT,IV,lung,14,tissues
M35,Cluster 294,11,M35_D14_Ear_R1.fastq,D14,14,ear,TRINITY_DN1242_c0_g1_i1_1_1748_3290_M35_D14_Ear_R1,46.82533,321730.1,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.02724,100,1527,1542,WT,IV,skin,14,tissues
M35,Cluster 294,11,M35_D14_SubCu_R1.fastq,D14,14,sub,TRINITY_DN0_c1_g1_i1_1_77_1619_M35_D14_SubCu_R1,4.5827610000000005,32229.03,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.02724,100,1527,1542,WT,IV,s.c. fat,14,tissues
M35,Cluster 504,11,M35_D14_Ear_R1.fastq,D14,14,ear,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,skin,14,tissues
M35,Cluster 504,11,M35_D14_blood_R1.fastq,D14,14,blood,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,blood,14,blood
M35,Cluster 504,11,M35_D14_Lung_R1.fastq,D14,14,lung,TRINITY_DN5_c0_g2_i3_1_166_1663_M35_D14_Lung_R1,0.05926885,2456.098,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.9332,99.9332,1497,1497,WT,IV,lung,14,tissues
M35,Cluster 504,11,M35_D14_Heart_R1.fastq,D14,14,heart,TRINITY_DN2_c0_g1_i2_1_1797_3294_M35_D14_Heart_R1,3.51097,25917.69,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,100,100,1497,1497,WT,IV,heart,14,tissues
M35,Cluster 504,11,M35_D14_GonFat_R1.fastq,D14,14,gon,TRINITY_DN7_c0_g2_i1_1_165_1662_M35_D14_GonFat_R1,0.2656533,1762.695,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,100,100,1497,1497,WT,IV,gon. fat,14,tissues
M35,Cluster 504,11,M35_D14_SubCu_R1.fastq,D14,14,sub,TRINITY_DN5_c0_g1_i1_1_1782_3279_M35_D14_SubCu_R1,0.1276028,890.5495,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,99.9332,99.9332,1497,1497,WT,IV,s.c. fat,14,tissues
M36,Cluster 1831,6,M36_D10_Lung,D10,10,lung,TRINITY_DN16_c0_g2_i1_1_77_1469_M36_D10_Lung,0.754079525779,5946.73202744,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,lung,10,tissues
M36,Cluster 1831,6,M36_D10_Ear,D10,10,ear,TRINITY_DN1_c2_g1_i1_1_27_1419_RC_M36_D10_Ear,1.63019309804,12365.7903336,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,skin,10,tissues
M36,Cluster 1831,6,M36_D10_Brain,D10,10,brain,TRINITY_DN16_c0_g1_i1_1_95_1464_M36_D10_Brain,0.140589147957,980.002235712,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,80.1314828342,72.2661396574,1518,1369,WT,IV,brain,10,tissues
M36,Cluster 1831,6,M36_D10_blood,D10,10,blood,TRINITY_DN7_c0_g1_i2_1_1619_3011_M36_D10_blood,2.4591896259899997,18909.9679286,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,blood,10,blood
M36,Cluster 1831,6,M36_D10_Gon_Fat,D10,10,gon,TRINITY_DN26_c0_g2_i1_1_0_1391_RC_M36_D10_Gon_Fat,0.291533872791,1983.26813963,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.9360172538,72.3320158103,1518,1391,WT,IV,gon. fat,10,tissues
M36,Cluster 1831,6,M36_D10_Heart,D10,10,heart,TRINITY_DN11_c0_g1_i4_1_26_1418_RC_M36_D10_Heart,1.47201709172,10635.1706373,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,78.8793103448,72.3320158103,1518,1392,WT,IV,heart,10,tissues
M36,Cluster 1831,6,M36_D10_Sub_Cu,D10,10,sub,TRINITY_DN283_c0_g1_i2_1_26_1418_RC_M36_D10_Sub_Cu,0.773426407301,5704.89969896,gnl|BL_ORD_ID|2783 Tbb1125VSG-224 : Complete : 1518nt : contig PacBio-2411,79.382183908,72.7931488801,1518,1392,WT,IV,s.c. fat,10,tissues
M36,Cluster 294,6,M36_D10_Heart,D10,10,heart,TRINITY_DN3_c0_g2_i1_1_1748_3290_M36_D10_Heart,12.069655490799999,87254.0579092,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.0272373541,100,1527,1542,WT,IV,heart,10,tissues
M36,Cluster 294,6,M36_D10_Gon_Fat,D10,10,gon,TRINITY_DN264_c0_g1_i1_1_1792_3334_M36_D10_Gon_Fat,76.9109267008,525009.375953,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.0272373541,100,1527,1542,WT,IV,gon. fat,10,tissues
M36,Cluster 294,6,M36_D10_Sub_Cu,D10,10,sub,TRINITY_DN0_c0_g1_i1_1_1748_3290_M36_D10_Sub_Cu,31.124235757700003,229866.478705,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.0272373541,100,1527,1542,WT,IV,s.c. fat,10,tissues
M36,Cluster 294,6,M36_D10_Lung,D10,10,lung,TRINITY_DN1_c0_g1_i1_1_1748_3290_M36_D10_Lung,40.0534268769,316276.092407,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.0272373541,100,1527,1542,WT,IV,lung,10,tissues
M36,Cluster 294,6,M36_D10_Ear,D10,10,ear,TRINITY_DN1_c0_g1_i13_1_703_2245_M36_D10_Ear,7.62367533219,57857.1104015,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.0272373541,100,1527,1542,WT,IV,skin,10,tissues
M36,Cluster 294,6,M36_D10_Brain,D10,10,brain,TRINITY_DN2_c0_g1_i2_1_174_1716_RC_M36_D10_Brain,28.9365736401,203145.64043,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,99.0272373541,100,1527,1542,WT,IV,brain,10,tissues
M36,Cluster 294,6,M36_D10_blood,D10,10,blood,TRINITY_DN0_c0_g2_i4_1_1484_3026_M36_D10_blood,13.9937303321,107641.037541,gnl|BL_ORD_ID|2772 Tbb1125VSG-211 : Complete : 1527nt : contig PacBio-410,98.7029831388,99.6725605763,1527,1542,WT,IV,blood,10,blood
M36,Cluster 504,6,M36_D10_Gon_Fat,D10,10,gon,TRINITY_DN7_c2_g1_i4_1_146_1598_M36_D10_Gon_Fat,0.0820097965936,552.996272135,gnl|BL_ORD_ID|2616 Tbb1125VSG-43.1 : Complete : 1497nt : Duplicate : contig Illumina-5219,98.8980716253,95.9251837007,1497,1452,WT,IV,gon. fat,10,tissues
M36,Cluster 504,6,M36_D10_Brain,D10,10,brain,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,brain,10,tissues
M36,Cluster 504,6,M36_D10_Sub_Cu,D10,10,sub,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,s.c. fat,10,tissues
